                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.71997,                0.43329,                 1.0235,                0.96096,                 0.9217,                0.96229,                0.78629,                0.76704,                 0.3961,                 1.1181,              0.0005075,              0.0005075,              0.0005075
                     62,                0.70661,                0.42911,                 1.0215,                0.94791,                0.94164,                 0.9667,                 0.7913,                0.76389,                0.38265,                  1.117,             0.00049513,             0.00049513,             0.00049513
                     63,                0.72242,                0.42814,                 1.0283,                0.94453,                0.93921,                0.95924,                0.78254,                0.76717,                0.39464,                 1.1277,             0.00048275,             0.00048275,             0.00048275
                     64,                  0.724,                0.42443,                 1.0354,                0.94943,                0.94469,                0.96102,                0.78828,                0.75381,                0.38629,                 1.1099,             0.00047038,             0.00047038,             0.00047038
                     65,                0.71326,                0.43707,                 1.0286,                0.94427,                0.93659,                0.96291,                0.78078,                0.76361,                0.39364,                 1.1294,               0.000458,               0.000458,               0.000458
                     66,                0.69887,                0.41616,                 1.0182,                0.94451,                0.94753,                0.96367,                0.79159,                 0.7714,                0.39742,                 1.1293,             0.00044563,             0.00044563,             0.00044563
                     67,                0.69776,                0.40186,                 1.0139,                0.94684,                0.93859,                0.96126,                0.78659,                0.77654,                0.39463,                 1.1346,             0.00043325,             0.00043325,             0.00043325
                     68,                0.69753,                0.40948,                 1.0206,                0.94236,                 0.9497,                0.96199,                0.78977,                0.75968,                0.39108,                 1.1167,             0.00042087,             0.00042087,             0.00042087
                     69,                0.70977,                0.41289,                 1.0208,                0.93774,                0.94697,                0.95929,                 0.7908,                 0.7609,                0.39357,                 1.1149,              0.0004085,              0.0004085,              0.0004085
                     70,                0.69247,                0.40421,                 1.0146,                0.95975,                0.93104,                0.96115,                0.79188,                0.76856,                0.37859,                 1.1289,             0.00039613,             0.00039613,             0.00039613
                     71,                0.68903,                0.39726,                 1.0148,                0.94428,                0.95193,                0.96565,                0.79454,                0.76497,                0.38082,                 1.1152,             0.00038375,             0.00038375,             0.00038375
                     72,                0.69828,                0.40099,                 1.0157,                0.96118,                 0.9364,                0.96356,                0.79026,                0.76444,                 0.3821,                 1.1134,             0.00037138,             0.00037138,             0.00037138
                     73,                0.68596,                 0.3985,                 1.0106,                0.93829,                0.95524,                0.96483,                0.79364,                0.75393,                0.38498,                 1.1124,               0.000359,               0.000359,               0.000359
                     74,                0.69304,                0.41022,                 1.0163,                0.94819,                0.94489,                0.96612,                0.79299,                0.75588,                0.37562,                 1.1147,             0.00034663,             0.00034663,             0.00034663
                     75,                0.68622,                0.39728,                 1.0129,                0.96009,                0.93734,                0.96189,                 0.7894,                0.75572,                0.37961,                 1.1183,             0.00033425,             0.00033425,             0.00033425
                     76,                0.68609,                0.39263,                   1.01,                0.94284,                0.93979,                0.96039,                0.79552,                0.76272,                 0.3861,                 1.1256,             0.00032188,             0.00032188,             0.00032188
                     77,                0.68476,                0.39286,                 1.0093,                0.95362,                0.94034,                0.95982,                0.79412,                0.76017,                0.37856,                 1.1191,              0.0003095,              0.0003095,              0.0003095
                     78,                0.67843,                0.39306,                 1.0126,                0.96918,                0.92532,                0.95984,                0.79569,                0.75445,                 0.3785,                 1.1165,             0.00029713,             0.00029713,             0.00029713
                     79,                0.67283,                 0.3883,                 1.0118,                 0.9455,                0.95189,                0.96263,                0.79509,                0.75735,                0.36617,                 1.1163,             0.00028475,             0.00028475,             0.00028475
                     80,                 0.6619,                0.37656,                0.99647,                0.96164,                0.92883,                0.96154,                0.79251,                0.75296,                0.37477,                 1.1177,             0.00027237,             0.00027237,             0.00027237
                     81,                 0.6704,                0.38258,                 1.0067,                0.94707,                 0.9402,                0.96099,                0.79047,                0.75021,                0.37552,                 1.1188,                0.00026,                0.00026,                0.00026
                     82,                0.67398,                0.38407,                 1.0076,                0.93798,                0.95307,                0.96076,                0.79487,                0.75766,                0.38098,                 1.1228,             0.00024762,             0.00024762,             0.00024762
